--------- beginning of /dev/log/main
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4526 column: 11 source: "  display: -moz-flex;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4527 column: 11 source: "  display: -ms-flexbox;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-align-items'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4532 column: 18 source: "  -moz-align-items: center;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4539 column: 22 source: "    -moz-border-radius: 0;"}]
04-26 06:27:35.782 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-flex'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4544 column: 13 source: "    -moz-flex: 1 0 220px;"}]
04-26 06:27:35.792 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'appearance'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4549 column: 14 source: "    appearance: none;"}]
04-26 06:27:35.792 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-flex'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4556 column: 13 source: "    -moz-flex: 0 0 24px;"}]
04-26 06:27:35.792 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4569 column: 22 source: "    -moz-border-radius: 0;"}]
04-26 06:27:35.792 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-flex'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4574 column: 13 source: "    -moz-flex: 1 0 220px;"}]
04-26 06:27:35.792 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'appearance'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4579 column: 14 source: "    appearance: none; }"}]
